stt,ma_ck,url,datetime,ngay_su_kien,nhan_duyen,nhan_an,nhan_final,nguon_nhan
1,VIB,https://cafef.vn/them-mot-ngan-hang-he-lo-ket-qua-kinh-doanh-nam-2023-188240103091546698.chn,1/3/2024 9:11,1/3/2024,,tich_cuc,tich_cuc,an
2,FPT,https://cafef.vn/fpt-ho-room-ngoai-hang-trieu-co-phieu-sau-phien-khop-lenh-ky-luc-188240524145739983.chn,5/24/2024 14:52,5/24/2024,trung_tinh,,trung_tinh,duyen
3,PLX,https://cafef.vn/petrolimex-bao-lai-gap-4-lan-cung-ky-nho-thoai-von-pgbank-luong-tien-mat-va-tien-gui-tang-hon-7000-ty-188231031113115802.chn,10/31/2023 14:40,10/31/2023,,tich_cuc,tich_cuc,an
4,FPT,https://cafef.vn/fpt-vuot-dinh-lan-thu-29-tu-dau-nam-lot-top-4-cong-ty-niem-yet-lon-nhat-viet-nam-gia-tri-ngang-ngua-hoa-phat-188240611155442016.chn,6/11/2024 15:54,6/12/2024,,trung_tinh,trung_tinh,an
5,VPB,https://cafef.vn/dhdcd-vpbank-chu-tich-ngo-chi-dung-khang-dinh-chia-co-tuc-tien-mat-trong-5-nam-lien-ly-giai-quyet-dinh-tham-gia-tai-co-cau-ngan-hang-yeu-kem-188240429094230251.chn,4/29/2024 12:41,4/29/2024,,trung_tinh,trung_tinh,an
6,VIC,https://cafef.vn/vingroup-lai-gan-1800-ty-dong-tu-viec-ban-movian-ai-cho-qualcomm-bang-16-loi-nhuan-truoc-thue-6-thang-dau-nam-2025-188250903075928848.chn,9/3/2025 7:57,9/3/2025,trung_tinh,,trung_tinh,duyen
7,VJC,https://cafef.vn/ty-phu-nguyen-thi-phuong-thao-da-nam-khoi-tai-san-44-ty-usd-giau-hon-2-anh-em-ty-phu-nguoi-brazil-cua-de-che-thit-lon-nhat-the-gioi-188251029001835271.chn,10/29/2025 0:18,10/29/2025,trung_tinh,,trung_tinh,duyen
8,POW,https://cafef.vn/pv-power-pow-thu-hon-2100-ty-dong-tu-ban-dien-trong-thang-7-tuyen-bo-gia-nhap-cuoc-choi-xay-tram-sac-xe-dien-188240816102020622.chn,8/16/2024 10:24,8/16/2024,tich_cuc,,tich_cuc,duyen
9,HPG,https://cafef.vn/ctck-du-bao-loi-nhuan-nganh-thep-2024-hoa-phat-hoi-phuc-manh-bat-ngo-voi-hoa-sen-188240110201142963.chn,1/11/2024 7:02,1/11/2024,,trung_tinh,trung_tinh,an
10,VHM,https://cafef.vn/vinhomes-du-kien-mo-ban-3-dai-du-an-vu-yen-co-loa-wonder-park-vndirect-tinh-lai-rong-gan-44000-ty-dong-trong-nam-2024-188240219171655892.chn,2/19/2024 19:01,2/20/2024,trung_tinh,,trung_tinh,duyen
11,MWG,https://cafef.vn/the-gioi-di-dong-mwg-cong-bo-doanh-thu-quy-2-cao-ky-luc-binh-quan-moi-ngay-kiem-hon-400-ty-188250726174123556.chn,7/26/2025 17:41,7/28/2025,trung_tinh,,trung_tinh,duyen
12,VJC,https://cafef.vn/ket-qua-kiem-tra-gia-ve-may-bay-cua-4-hang-hang-khong-188240511142824585.chn,5/11/2024 14:28,5/13/2024,trung_tinh,,trung_tinh,duyen
13,VRE,https://cafef.vn/dhcd-vincom-retail-vre-can-hon-10000-ty-phat-trien-luoi-du-an-voi-dien-tich-hon-800000-m2-18824042116395987.chn,4/23/2024 9:19,4/23/2024,tich_cuc,,tich_cuc,duyen
14,HPG,https://cafef.vn/hoa-phat-can-moc-9-trieu-tan-hrc-sau-4-nam-ke-tu-cuon-thep-can-nong-dau-tien-ra-lo-188240325135309376.chn,3/25/2024 13:50,3/25/2024,trung_tinh,,trung_tinh,duyen
15,VIC,https://cafef.vn/ty-phu-pham-nhat-vuong-xay-4-cong-trinh-khong-lo-o-4-huong-dong-tay-nam-bac-cua-ha-noi-188260128231229124.chn,1/29/2026 0:37,1/29/2026,trung_tinh,trung_tinh,trung_tinh,nhat_tri
16,PLX,https://cafef.vn/nha-ban-le-xang-dau-lon-nhat-viet-nam-petrolimex-len-ke-hoach-loi-nhuan-2024-giam-manh-co-tuc-nam-2023-du-kien-15-188240409173442895.chn,4/9/2024 17:32,4/10/2024,,trung_tinh,trung_tinh,an
17,VIC,https://cafef.vn/ong-pham-nhat-vuong-da-tai-tro-vinfast-bao-nhieu-188250330165749501.chn,3/30/2025 16:57,3/31/2025,trung_tinh,,trung_tinh,duyen
18,MWG,https://cafef.vn/the-gioi-di-dong-dong-cua-200-diem-ban-hang-truoc-tet-cac-cua-hang-tai-indonesia-co-bi-anh-huong-188231212095920585.chn,12/12/2023 9:59,12/12/2023,,trung_tinh,trung_tinh,an
19,MWG,https://cafef.vn/chuyen-gi-day-hon-3000-cua-hang-the-gioi-di-dong-va-dien-may-xanh-bien-thanh-cay-atm-mo-hinh-lan-dau-tien-co-mat-tai-viet-nam-188241205083158318.chn,12/5/2024 8:31,12/5/2024,,trung_tinh,trung_tinh,an
20,HDB,https://cafef.vn/hdbank-bao-loi-nhuan-4028-ty-dong-trong-quy-i-tang-468-so-voi-cung-ky-roe-dat-267-188240427180058421.chn,4/27/2024 18:00,4/29/2024,tich_cuc,tich_cuc,tich_cuc,nhat_tri
21,GAS,https://cafef.vn/om-nui-tien-mat-hang-ty-usd-ga-khong-lo-nganh-khi-viet-nam-muon-chia-co-tuc-khung-cho-co-dong-so-tien-du-chi-gay-ngo-ngang-188240529092912554.chn,5/29/2024 9:22,5/29/2024,,trung_tinh,trung_tinh,an
22,STB,https://cafef.vn/muc-tieu-kep-cua-sacombank-tren-lo-trinh-phat-trien-ben-vung-188240502080557886.chn,5/2/2024 8:05,5/2/2024,,trung_tinh,trung_tinh,an
23,VNM,https://cafef.vn/tap-doan-chi-hang-ty-usd-vao-thaco-vinamilk-ree-bao-lai-rong-nua-dau-nam-2025-giam-23-thi-truong-viet-nam-toa-sang-lai-tu-ree-tang-gan-50-188250829224928494.chn,8/30/2025 0:10,9/1/2025,,trung_tinh,trung_tinh,an
24,TCB,https://cafef.vn/chay-da-an-tuong-techcombank-se-bay-cao-trong-nam-rong-188240214222055881.chn,2/15/2024 8:00,2/15/2024,,tich_cuc,tich_cuc,an
25,ACB,https://cafef.vn/acb-duoc-chap-thuan-tang-von-len-gan-51400-ty-dong-188250512103517314.chn,5/12/2025 10:35,5/12/2025,trung_tinh,,trung_tinh,duyen
26,VHM,https://cafef.vn/tang-bang-chim-cua-hang-nghin-ty-chi-phi-lai-vay-tai-novaland-khang-dien-18824100423291579.chn,10/5/2024 7:01,10/7/2024,,trung_tinh,trung_tinh,an
27,VIC,https://cafef.vn/vingroup-cong-bo-loat-tai-lieu-quan-trong-den-nguoi-so-huu-trai-phieu-188250903144150208.chn,9/3/2025 14:41,9/3/2025,trung_tinh,,trung_tinh,duyen
28,MWG,https://cafef.vn/the-gioi-di-dong-co-dong-thai-moi-sau-nhieu-lan-co-dong-phan-ung-ve-chinh-sach-phat-hanh-esop-quyet-tam-mua-co-phieu-quy-188250222075641371.chn,2/22/2025 7:56,2/24/2025,trung_tinh,,trung_tinh,duyen
29,MSN,https://cafef.vn/wincommerce-co-lai-sau-thue-trong-thang-6-du-so-luong-cua-hang-bat-dong-tu-quy-1-den-quy-2-dieu-gi-dang-xay-ra-188240728230207748.chn,7/29/2024 6:58,7/29/2024,,tich_cuc,tich_cuc,an
30,FPT,https://cafef.vn/vinfast-gsm-cung-hai-doanh-nghiep-niem-yet-ty-do-duoc-tong-thong-indonesia-moi-goi-dau-tu-188240113235208892.chn,1/14/2024 7:41,1/15/2024,,trung_tinh,trung_tinh,an
31,VHM,https://cafef.vn/co-phieu-ho-vingroup-dong-gop-gan-100-diem-tu-dau-nam-vnindex-con-co-the-len-bao-nhieu-188250520223918874.chn,5/21/2025 0:01,5/21/2025,trung_tinh,,trung_tinh,duyen
32,MSN,https://cafef.vn/con-gai-ty-phu-nguyen-dang-quang-da-chi-khoang-600-ty-dong-mua-co-phieu-msn-188241121100545065.chn,11/21/2024 10:09,11/21/2024,,trung_tinh,trung_tinh,an
33,VJC,https://cafef.vn/mot-hang-hang-khong-viet-muon-thue-hai-may-bay-trung-quoc-de-phuc-vu-chang-bay-con-dao-188241220111355314.chn,12/20/2024 11:14,12/20/2024,,trung_tinh,trung_tinh,an
34,POW,https://cafef.vn/dai-gia-nha-nuoc-bat-tay-vingroup-phat-trien-he-thong-tram-sac-xe-dien-toan-quoc-thu-gan-2400-ty-tu-ban-dien-tang-manh-50-so-voi-cung-ky-18825031714491235.chn,3/17/2025 14:50,3/17/2025,trung_tinh,,trung_tinh,duyen
35,GVR,https://cafef.vn/co-phieu-tang-30-gia-tri-vua-vuot-100000-ty-gvr-don-tin-xau-thua-kien-bi-buoc-phai-hoan-tra-hon-141-ty-dong-188240223144330896.chn,2/23/2024 14:43,2/23/2024,tieu_cuc,tieu_cuc,tieu_cuc,nhat_tri
36,MWG,https://cafef.vn/sau-hon-6-nam-the-gioi-di-dong-lai-mot-lan-nua-buoc-chan-vao-cuoc-dua-thuong-mai-dien-tu-188250522175102535.chn,5/22/2025 17:50,5/23/2025,,trung_tinh,trung_tinh,an
37,HPG,https://cafef.vn/ong-tran-dinh-long-co-phieu-hoa-phat-chi-tu-tot-den-tot-188240411140715773.chn,4/11/2024 14:06,4/11/2024,,trung_tinh,trung_tinh,an
38,SSI,https://cafef.vn/dhdcd-ssi-ke-hoach-margin-26000-ty-dong-lanh-dao-tra-loi-lo-ngai-co-dong-ve-viec-nam-giu-nhieu-trai-phieu-becamex-188250418171047063.chn,4/18/2025 17:21,4/21/2025,,trung_tinh,trung_tinh,an
39,HPG,https://cafef.vn/con-cac-ty-phu-pham-nhat-vuong-ho-hung-anh-tran-dinh-long-dang-so-huu-bao-nhieu-co-phieu-cong-ty-cua-bo-me-188231221232443408.chn,12/23/2023 7:49,12/25/2023,,trung_tinh,trung_tinh,an
40,FPT,https://cafef.vn/fpt-giam-manh-voi-thanh-khoan-ky-luc-khoi-ngoai-ban-thao-dieu-gi-dang-xay-ra-voi-co-phieu-cong-nghe-so-1-viet-nam-188250314221847824.chn,3/15/2025 0:01,3/17/2025,tieu_cuc,tieu_cuc,tieu_cuc,nhat_tri
41,TPB,https://cafef.vn/tpbank-kien-toan-nhan-su-ban-dieu-hanh-188250627090548214.chn,6/27/2025 9:05,6/27/2025,trung_tinh,,trung_tinh,duyen
42,VNM,https://cafef.vn/vinamilk-ngung-lien-doanh-tai-philippines-188250101220132995.chn,1/2/2025 0:01,1/2/2025,,trung_tinh,trung_tinh,an
43,VHM,https://cafef.vn/ngo-ngang-bo-tu-sieu-dang-cua-ty-phu-pham-nhat-vuong-dong-gop-75-diem-vao-vnindex-tu-dau-nam-188250514231631324.chn,5/15/2025 10:50,5/15/2025,trung_tinh,,trung_tinh,duyen
44,VCB,https://cafef.vn/vietcombank-rot-them-10000-ty-vao-mot-cong-ty-chung-khoan-188251227221423904.chn,12/28/2025 0:05,12/29/2025,trung_tinh,,trung_tinh,duyen
